Date,Ridge Simulated 00757 TW (Original),Ridge Simulated 00757 TW (Bootstrap),Mag 5 Index,Actual 00757 TW
2010-01-05,100.0,100.0,99.74481261324293,
2010-01-06,100.13287366773528,100.1288806698309,100.2691103467483,
2010-01-07,100.12204337970839,100.14157376778756,99.15564142105362,
2010-01-08,100.27902230447228,100.2900007100078,99.94920340636419,
2010-01-11,100.31272393363433,100.33874800650354,99.3422481286476,
2010-01-12,100.25268096954835,100.31166675700811,97.68990219894526,
2010-01-13,100.40201630952555,100.45399606186992,98.38381594284363,
2010-01-14,100.38842384874536,100.46451865152186,97.26102049623155,
2010-01-15,100.36929314853833,100.4705579390278,96.09041319093316,
2010-01-19,100.54671487752647,100.63570447068422,97.08048543148871,
2010-01-20,100.58414251878243,100.68756307269979,96.53081845316426,
2010-01-21,100.5766632913112,100.70307971502864,95.4957440421335,
2010-01-22,100.3981063064331,100.58003055751601,92.65156407990818,
2010-01-25,100.52993740000456,100.70838570659164,93.12194061020524,
2010-01-26,100.63945067500491,100.81868568296231,93.35602096955186,
2010-01-27,100.80010804621233,100.97043867937194,94.13376007706987,
2010-01-28,101.17459621165183,101.2953651048034,97.23791003288305,
2010-01-29,101.01128725295942,101.18480358769287,94.51608288872116,
2010-02-01,101.22422556174644,101.37896986411579,95.8613443959413,
2010-02-02,101.38966538412375,101.53468305615472,96.70189546342883,
2010-02-03,101.52625539510926,101.66705575860287,97.23065933469016,
2010-02-04,101.31098051664563,101.51444458421035,93.96285782425264,
2010-02-05,101.4880789820921,101.67969648546018,94.90976327374032,
2010-02-08,101.52649480648765,101.73260983712731,94.37916143433903,
2010-02-09,101.67853538848748,101.87760975808584,95.0581874740071,
2010-02-10,101.74641910265356,101.95444586309105,94.83939044504501,
2010-02-11,102.046502625606,102.21942750014085,97.11604443706676,
2010-02-12,102.177690558432,102.34760063415116,97.57844290944352,
2010-02-16,102.41718250388989,102.56351042120826,99.23373987443654,
2010-02-17,102.51114543867179,102.66158451549279,99.28814608914134,
2010-02-18,102.56872756566955,102.73021842360299,98.93986699742847,
2010-02-19,102.65309291455567,102.82056577206589,98.88687972133164,
2010-02-22,102.66772896358694,102.85445186300564,98.06934123127058,
2010-02-23,102.63547560682159,102.85035324450504,96.75223766798752,
2010-02-24,102.85455196885276,103.04991453107579,98.15892168256882,
2010-02-25,103.00428955536458,103.1933151349516,98.81808165717715,
2010-02-26,103.12137215929722,103.31028513276482,99.12000033830286,
2010-03-01,103.46842728462427,103.61354443706307,101.9817319120704,
2010-03-02,103.53973914013086,103.69349827890852,101.7720788565466,
2010-03-03,103.58371131520576,103.75133094374806,101.25649129148071,
2010-03-04,103.72759688668273,103.89010835380492,101.8588467575499,
2010-03-05,103.94872371635529,104.09145980905039,103.33658746929851,
2010-03-08,104.04802861408417,104.19418293032368,103.4379572842125,
2010-03-09,104.28482666943613,104.40825817169717,105.1111059603685,
2010-03-10,104.48249491888694,104.59066364389243,106.3490075060428,
2010-03-11,104.56113538447596,104.67673845895247,106.2073018099464,
2010-03-12,104.61322349642037,104.74133922749122,105.75795644418152,
2010-03-15,104.64087509875075,104.78617161459043,105.0295964716074,
2010-03-16,104.83795579832397,104.96821520551822,106.251916703455,
2010-03-17,105.01793407551273,105.13642955356805,107.2843032858857,
2010-03-18,105.04884468840999,105.18398318771875,106.5819698990976,
2010-03-19,105.10903738360453,105.25526308418446,106.2217906703948,
2010-03-22,105.31034389356377,105.44082911836531,107.4969855642265,
2010-03-23,105.5069673875725,105.62261921179221,108.727787167395,
2010-03-24,105.4652209194369,105.61144549100476,107.16762184677088,
2010-03-25,105.60008430951753,105.74328924427748,107.66949513752799,
2010-03-26,105.75449659238726,105.89098657218368,108.4004584515879,
2010-03-29,105.89002594125394,106.02341899729335,108.9115846566918,
2010-03-30,106.07688755784568,106.197434645875,110.0299786830159,
2010-03-31,106.08946002697883,106.23036747324413,109.09032809004331,
2010-04-01,106.20029186563906,106.34287910317369,109.30881166809118,
2010-04-05,106.47809385304079,106.59059717737335,111.50823512022869,
2010-04-06,106.68500624818549,106.78093244007823,112.8829662389694,
2010-04-07,106.66657768757794,106.78889127012994,111.54706481932331,
2010-04-08,106.79168839309345,106.91306602098656,111.9341612815341,
2010-04-09,106.94183044807035,107.05752997157117,112.6216998479028,
2010-04-12,107.08988247071713,107.20032644033293,113.285641909417,
2010-04-13,107.33267352006621,107.41982554746414,115.1066854380036,
2010-04-14,107.64509300128142,107.69566271500422,117.8180770496603,
2010-04-15,107.78920154768595,107.83533252773022,118.45089304502181,
2010-04-16,107.72614274166183,107.8074088671018,116.49874745322899,
2010-04-19,107.81587986978114,107.90313564984604,116.4502984875744,
2010-04-20,108.0215607424715,108.0927146238159,117.83819151727431,
2010-04-21,108.13773815855048,108.2098909420734,118.115715742989,
2010-04-22,108.65788620426183,108.65386267616701,123.5402562967359,
2010-04-23,108.7248969936091,108.73133536613537,123.18425374078758,
2010-04-26,109.09560294616931,109.05438140423756,126.80438842598521,
2010-04-27,108.84606817299849,108.87595217281188,122.30862244354279,
2010-04-28,108.86573811466242,108.91519202324112,121.35030871571139,
2010-04-29,109.19927819907191,109.20834081025382,124.42549683859569,
2010-04-30,108.93726709190513,109.01975523425003,119.8601008996512,
2010-05-03,109.21506817886029,109.26791600415827,122.1802620023623,
2010-05-04,108.97905090769162,109.10030164310092,118.0189893762962,
2010-05-05,108.94247603673604,109.09406027418986,116.40539582210741,
2010-05-06,108.8150637159859,109.01422631434563,113.7241443037021,
2010-05-07,108.58350812926687,108.84991712911867,109.8924687343889,
2010-05-10,109.24647233144313,109.4104520350764,116.6442008016439,
2010-05-11,109.40732581180934,109.56416980614472,117.44970035483871,
2010-05-12,109.84316889668038,109.94052874143058,121.6941190010233,
2010-05-13,109.94098644812564,110.04326247819438,121.72340552900349,
2010-05-14,109.5317769489409,109.73544058742131,115.4928247021151,
2010-05-17,109.8366532400615,110.00593082561242,118.0419526116119,
2010-05-18,109.68895021086695,109.90983634301044,115.0920473994897,
2010-05-19,109.70239980603364,109.94428431272298,114.1145041932103,
2010-05-20,109.45021769697682,109.76337775259542,110.05417802899899,
2010-05-21,109.71058407760441,109.99803567238362,111.9657504576425,
2010-05-24,109.80640309376626,110.09929848033792,111.9707819969183,
2010-05-25,110.00258738079727,110.28195885612861,113.14893217637989,
2010-05-26,110.10155240478569,110.38582683109826,113.1879738145089,
2010-05-27,110.63396636268688,110.84101067744385,118.4206908878968,
2010-05-28,110.72491075448607,110.93844674807181,118.3566010611125,
2010-06-01,110.66453806928209,110.91328844667726,116.4589532832516,
2010-06-02,110.99779807938135,111.20712340063055,119.3390186279226,
2010-06-03,111.18698655304486,111.38423036080805,120.48166700702501,
2010-06-04,110.98114018245515,111.2412789003655,116.7916380524552,
2010-06-07,110.9345290173827,111.22732276288339,115.08376642503639,
2010-06-08,111.04458866445471,111.34039681242045,115.2450489448922,
2010-06-09,111.20964143881768,111.4980841557874,116.0593906110023,
2010-06-10,111.5778675639199,111.82047518041773,119.3362228271968,
2010-06-11,111.82815301375216,112.04726242486159,121.2213192745789,
2010-06-14,112.04895779241465,112.2501734998324,122.75955827704522,
2010-06-15,112.25484763309535,112.44101830521369,124.1232156212864,
2010-06-16,112.46885752306255,112.63845730114903,125.60078032378482,
2010-06-17,112.71419725732761,112.8612807901101,127.49504635861551,
2010-06-18,112.8290933840642,112.97850241874676,127.71343691233909,
2010-06-21,112.62695094810337,112.83896863895706,123.8866613402332,
2010-06-22,112.56518978430034,112.8130945683887,121.8960000901203,
2010-06-23,112.69302175006828,112.94087275456906,122.2669620908641,
2010-06-24,112.51865386713634,112.82370870195982,118.9354977458154,
2010-06-25,112.6755947356811,112.97514342986659,119.65083649388268,
2010-06-28,112.78888576439559,113.09121380755656,119.83677906701328,
2010-06-29,112.45310047555026,112.84305153212901,114.6781150495102,
2010-06-30,112.35204066664262,112.78519939091436,112.38430798991878,
2010-07-01,112.5147321148364,112.94143885005141,113.1289667631115,
2010-07-02,112.52433548607479,112.9734330901413,112.120349337676,
2010-07-06,112.59780145023257,113.05729087813488,111.8434509949601,
